,Asset_1,Asset_2,Asset_3,Asset_4,Asset_5,Asset_6
Opt_1,0,0,0,1,0,0
Opt_2,1,1,0,0,0,0
Opt_3,0,0,0,0,0,1
Opt_4,0,0,0,1,0,0
Opt_5,0,0,1,0,0,0
Opt_6,1,0,0,0,0,0
Opt_7,0,0,0,0,1,1
Opt_8,0,0,1,0,0,0
Opt_9,0,0,0,1,0,1
Opt_10,0,0,1,0,0,0
Opt_11,1,0,0,0,1,0
Opt_12,0,0,0,0,0,1
Opt_13,1,0,0,0,0,0
Opt_14,0,0,1,0,0,0
Opt_15,0,0,0,0,1,1
Opt_16,0,1,0,0,0,1
Opt_17,0,1,0,0,1,0
Opt_18,0,0,0,0,1,0
Opt_19,0,1,0,1,0,0
Opt_20,0,0,1,0,0,0
Opt_21,0,0,1,0,0,0
Opt_22,0,1,0,0,0,1
Opt_23,0,0,0,1,0,0
Opt_24,0,0,0,1,0,0
Opt_25,1,0,0,0,0,1
Opt_26,0,1,0,0,0,1
Opt_27,0,1,1,0,0,0
Opt_28,0,0,1,0,0,0
Opt_29,1,0,0,0,0,0
Opt_30,0,1,1,0,0,0
Opt_31,0,0,0,0,1,0
Opt_32,0,1,0,0,0,0
Opt_33,0,0,0,0,0,1
Opt_34,1,0,0,0,0,0
Opt_35,0,0,1,0,0,1
Opt_36,0,0,0,0,0,1
Opt_37,0,0,0,1,0,0
Opt_38,0,0,1,1,0,0
Opt_39,0,1,0,0,0,1
Opt_40,0,1,0,0,0,0
Opt_41,0,0,1,0,0,0
Opt_42,0,0,0,0,1,0
Opt_43,1,0,0,0,0,0
Opt_44,1,0,0,1,0,0
Opt_45,0,0,1,0,0,1
Opt_46,0,1,0,0,1,0
Opt_47,0,0,0,0,1,0
Opt_48,0,0,0,1,0,0
Opt_49,0,0,0,1,0,0
Opt_50,0,0,1,0,0,0
Opt_51,0,1,0,0,0,0
Opt_52,0,0,0,1,0,0
Opt_53,0,0,0,0,0,1
Opt_54,0,0,0,1,0,1
Opt_55,0,0,0,1,0,0
Opt_56,1,1,0,0,0,0
Opt_57,0,0,1,0,1,0
Opt_58,0,0,0,0,0,1
Opt_59,0,0,1,0,1,0
Opt_60,0,0,0,0,0,1
Opt_61,0,1,0,1,0,0
Opt_62,1,0,0,0,0,0
Opt_63,0,1,1,0,0,0
Opt_64,0,0,0,1,0,1
Opt_65,0,0,1,0,0,0
Opt_66,0,1,0,1,0,0
Opt_67,1,0,0,0,0,0
Opt_68,0,1,0,0,1,0
Opt_69,0,0,1,0,0,1
Opt_70,0,0,0,1,0,0
Opt_71,0,1,0,0,0,1
Opt_72,1,0,0,0,1,0
Opt_73,0,1,0,0,1,0
Opt_74,0,0,0,1,0,0
Opt_75,0,1,0,0,0,0
Opt_76,1,0,1,0,0,0
Opt_77,0,0,0,0,0,1
Opt_78,0,1,0,0,0,1
Opt_79,0,0,1,1,0,0
Opt_80,0,0,1,0,0,0
Opt_81,0,0,0,1,1,0
Opt_82,0,0,1,0,1,0
Opt_83,1,0,0,0,0,0
Opt_84,0,0,0,0,0,1
Opt_85,0,0,1,1,0,0
Opt_86,0,0,1,1,0,0
Opt_87,0,0,1,1,0,0
Opt_88,1,0,0,0,0,0
Opt_89,0,0,0,1,0,0
Opt_90,1,0,0,0,0,0
Opt_91,1,0,0,0,1,0
Opt_92,0,0,0,0,0,1
Opt_93,0,1,0,0,0,0
Opt_94,1,0,0,0,0,0
Opt_95,0,1,1,0,0,0
Opt_96,1,1,0,0,0,0
Opt_97,1,0,0,1,0,0
Opt_98,0,0,1,0,0,1
Opt_99,0,0,0,1,0,0
Opt_100,0,0,0,1,0,1
Opt_101,1,0,0,0,1,0
Opt_102,1,1,0,0,0,0
Opt_103,0,0,0,1,0,0
Opt_104,0,1,0,0,0,0
Opt_105,0,0,1,0,0,0
Opt_106,0,0,0,0,0,1
Opt_107,0,0,0,1,0,0
Opt_108,0,0,0,1,0,1
Opt_109,0,0,0,1,0,1
Opt_110,1,0,0,0,0,0
Opt_111,0,0,0,0,1,0
Opt_112,0,0,1,0,0,0
Opt_113,1,0,0,0,0,0
Opt_114,0,0,1,0,0,0
Opt_115,0,0,1,0,0,0
Opt_116,1,0,0,0,1,0
Opt_117,0,1,0,1,0,0
Opt_118,1,0,0,1,0,0
Opt_119,0,0,1,0,0,0
Opt_120,0,1,0,0,1,0
