,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12
P1,0.88,0.68,0.79,0.86,0.78,0.65,0.89,0.62,0.8,0.7,0.7,0.65
P2,0.82,0.71,0.64,0.74,0.95,0.78,0.79,0.7,0.72,0.69,0.84,0.62
P3,0.89,0.89,0.61,0.71,0.95,0.86,0.82,0.89,0.74,0.91,0.66,0.76
P4,0.74,0.67,0.66,0.76,0.71,0.86,0.71,0.7,0.89,0.78,0.77,0.79
P5,0.88,0.82,0.92,0.72,0.9,0.8,0.8,0.92,0.79,0.68,0.65,0.94
P6,0.91,0.83,0.73,0.89,0.89,0.67,0.93,0.9,0.9,0.91,0.74,0.9
P7,0.82,0.62,0.9,0.69,0.8,0.71,0.93,0.74,0.63,0.82,0.89,0.6
P8,0.73,0.86,0.94,0.83,0.86,0.8,0.91,0.69,0.76,0.89,0.8,0.71
P9,0.64,0.77,0.82,0.7,0.89,0.69,0.61,0.95,0.9,0.72,0.94,0.64
P10,0.67,0.77,0.71,0.62,0.87,0.8,0.61,0.79,0.79,0.63,0.89,0.79
