,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12
P1,1.17,1.12,1.42,0.74,1.76,2.86,2.99,2.06,0.93,2.15,2.84,0.55
P2,2.04,1.26,2.86,2.69,2.85,2.05,2.26,1.23,0.67,1.67,0.97,2.56
P3,1.08,1.97,2.78,1.6,0.83,0.95,0.8,1.58,2.78,2.18,2.67,1.16
P4,1.85,0.65,0.66,0.97,1.83,1.43,2.43,1.92,2.79,0.93,0.92,1.58
P5,2.39,2.88,2.09,1.78,1.84,0.6,0.75,1.58,2.6,2.11,1.54,0.79
P6,0.52,1.73,1.02,0.69,1.5,1.12,1.74,1.07,0.78,1.22,0.64,2.8
P7,2.22,2.43,2.8,1.17,2.52,0.71,1.94,2.7,0.74,1.47,1.84,0.54
P8,2.69,0.75,2.8,1.79,0.53,0.69,2.06,2.97,2.98,2.8,0.98,2.8
P9,2.37,2.42,0.71,1.54,1.48,2.22,2.6,2.41,1.74,1.47,0.68,1.24
P10,1.26,2.32,0.99,2.13,0.51,2.22,1.82,1.98,0.94,1.87,2.78,0.52
