plant,fixed_cost,capacity,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
F1,11250,101,7.8,7.6,6.7,7.9,8.1,8.3,7.3,8.2,8.1,8.2,7.3,7.7,6.7,7.1,7.9
F2,13480,124,5.3,6.0,5.0,6.4,5.9,6.2,5.6,6.1,6.3,6.1,5.0,5.6,5.3,4.9,6.3
F3,14870,139,7.2,8.1,7.4,8.8,8.5,8.7,7.7,8.7,8.9,8.5,7.2,7.7,7.1,7.6,8.4
F4,10290,86,7.0,7.1,6.5,7.9,7.4,7.7,6.7,7.9,7.8,7.3,6.8,7.0,6.5,6.7,7.6
F5,16740,157,3.5,3.8,2.9,4.3,3.6,3.9,3.2,4.3,4.5,4.0,3.2,4.0,2.9,3.4,3.9
F6,13960,133,8.2,8.6,7.9,9.5,8.5,9.3,8.5,9.4,9.0,9.2,8.1,8.7,7.9,8.5,9.0
F7,12680,118,6.9,7.6,6.8,8.4,8.0,8.0,7.6,8.0,8.1,7.8,6.9,7.1,7.0,6.9,7.5
F8,17890,162,6.9,7.8,7.1,8.7,8.6,8.2,7.2,7.9,8.4,7.9,7.0,7.4,6.8,7.3,8.0
F9,10950,92,3.5,3.8,2.8,4.4,4.2,4.8,3.8,5.0,4.5,4.1,3.2,3.7,3.7,3.2,4.5
F10,15320,144,5.2,6.1,5.1,6.3,6.1,6.0,5.6,6.5,6.2,5.9,5.3,6.1,5.1,5.2,6.2
F11,11830,107,5.2,5.5,4.5,6.2,5.7,6.1,5.1,5.8,5.7,6.2,5.2,5.2,4.5,5.1,5.4
F12,14110,129,7.8,8.7,7.6,9.0,8.6,9.0,8.5,9.3,9.3,8.4,7.9,8.2,7.4,7.6,8.7
F13,15970,151,6.7,6.6,6.1,7.3,7.1,7.5,6.7,8.0,7.6,7.2,6.3,6.9,6.2,6.0,7.2
F14,13140,113,7.5,8.6,7.6,8.2,8.0,7.9,7.5,8.7,8.8,8.1,7.2,7.3,7.0,7.0,8.0
F15,10580,85,5.1,5.8,4.6,5.9,6.5,5.9,5.2,7.0,7.1,5.9,5.1,5.8,5.4,4.9,6.0
