option,tech,gen_per_lot,cost_per_lot,unit_cost_est
coal_001,coal,45,37.62,0.836
coal_002,coal,55,44.43,0.8078
coal_003,coal,45,34.76,0.7724
coal_004,coal,40,33.17,0.8293
coal_005,coal,50,40.83,0.8166
coal_006,coal,40,33.5,0.8375
coal_007,coal,55,42.73,0.7769
coal_008,coal,45,34.86,0.7747
coal_009,coal,45,36.09,0.802
coal_010,coal,50,39.16,0.7832
coal_011,coal,50,38.56,0.7712
coal_012,coal,45,35.52,0.7893
coal_013,coal,50,41.14,0.8228
coal_014,coal,45,36.05,0.8011
coal_015,coal,50,38.19,0.7638
coal_043,coal,45,35.37,0.786
coal_044,coal,55,44.61,0.8111
coal_045,coal,60,47.87,0.7978
coal_046,coal,40,32.68,0.817
coal_047,coal,55,44.27,0.8049
coal_048,coal,55,43.97,0.7995
coal_049,coal,50,39.71,0.7942
coal_050,coal,40,30.75,0.7688
coal_051,coal,40,32.44,0.811
coal_091,coal,45,34.61,0.7691
coal_092,coal,60,49.81,0.8302
coal_093,coal,45,36.58,0.8129
coal_094,coal,55,44.24,0.8044
coal_095,coal,50,38.97,0.7794
coal_096,coal,40,33.27,0.8318
coal_097,coal,60,48.64,0.8107
coal_098,coal,45,35.46,0.788
coal_099,coal,55,45.75,0.8318
coal_100,coal,60,49.34,0.8223
gas_001,gas,30,28.75,0.9583
gas_002,gas,25,26,1.04
gas_003,gas,30,28.53,0.951
gas_004,gas,25,25.41,1.0164
gas_005,gas,25,24.15,0.966
gas_006,gas,30,30.58,1.0193
gas_007,gas,30,29.17,0.9723
gas_008,gas,35,34.08,0.9737
gas_009,gas,30,30.74,1.0247
gas_010,gas,30,31.05,1.035
gas_011,gas,30,30.2,1.0067
gas_012,gas,25,24.67,0.9868
gas_013,gas,25,24.36,0.9744
gas_014,gas,35,34.63,0.9894
gas_015,gas,35,35.46,1.0131
gas_016,gas,35,35.01,1.0003
gas_017,gas,30,29.98,0.9993
gas_018,gas,25,25.56,1.0224
gas_019,gas,25,23.81,0.9524
gas_020,gas,30,29.03,0.9677
gas_021,gas,35,36.59,1.0454
gas_022,gas,35,34.55,0.9871
gas_023,gas,25,26.07,1.0428
gas_024,gas,30,31.4,1.0467
gas_025,gas,35,36.24,1.0354
gas_026,gas,30,29.66,0.9887
gas_027,gas,35,34.36,0.9817
gas_028,gas,25,25.14,1.0056
gas_029,gas,35,35.69,1.0197
gas_030,gas,30,28.79,0.9597
gas_031,gas,30,31.47,1.049
gas_032,gas,25,25.05,1.002
gas_033,gas,35,35.84,1.024
gas_034,gas,30,30.61,1.0203
gas_035,gas,30,29.38,0.9793
gas_036,gas,35,36.09,1.0311
gas_037,gas,35,36.45,1.0414
gas_038,gas,30,30,1
gas_039,gas,35,35.52,1.0149
gas_040,gas,30,30.89,1.0297
gas_041,gas,35,34.43,0.9837
gas_042,gas,30,28.78,0.9593
gas_043,gas,30,28.61,0.9537
gas_044,gas,30,30.13,1.0043
gas_045,gas,25,25.23,1.0092
gas_062,gas,30,29.34,0.978
gas_063,gas,35,35.83,1.0237
gas_064,gas,30,30.34,1.0113
gas_065,gas,30,29.24,0.9747
gas_066,gas,30,30.77,1.0257
gas_067,gas,25,24.04,0.9616
gas_096,gas,35,34.69,0.9911
gas_097,gas,30,30.83,1.0277
gas_098,gas,30,31.29,1.043
gas_099,gas,35,34.75,0.9929
gas_100,gas,35,35.89,1.0254
renewables_001,renewables,15,19.5,1.3
renewables_002,renewables,20,25.82,1.291
renewables_003,renewables,20,25.99,1.2995
renewables_004,renewables,20,23.78,1.189
renewables_005,renewables,25,29.97,1.1988
renewables_021,renewables,15,19.66,1.3107
renewables_022,renewables,20,24.68,1.234
renewables_023,renewables,25,32.65,1.306
renewables_024,renewables,25,32.04,1.2816
renewables_025,renewables,20,23.96,1.198
renewables_026,renewables,20,25.15,1.2575
renewables_027,renewables,20,26.02,1.301
renewables_028,renewables,15,18.74,1.2493
renewables_029,renewables,15,18.69,1.246
renewables_030,renewables,15,18.04,1.2027
renewables_031,renewables,15,19.03,1.2687
renewables_032,renewables,20,25.21,1.2605
renewables_033,renewables,25,30.86,1.2344
renewables_034,renewables,20,25.92,1.296
renewables_035,renewables,20,26.16,1.308
renewables_036,renewables,15,19.63,1.3087
renewables_037,renewables,15,19.48,1.2987
renewables_038,renewables,20,26.23,1.3115
renewables_039,renewables,15,18.85,1.2567
renewables_040,renewables,25,31.32,1.2528
renewables_041,renewables,20,25.49,1.2745
renewables_042,renewables,20,25.32,1.266
renewables_043,renewables,20,26,1.3
renewables_044,renewables,15,18.34,1.2227
renewables_045,renewables,25,32.47,1.2988
renewables_046,renewables,20,25.3,1.265
renewables_047,renewables,20,24.22,1.211
renewables_048,renewables,20,24.63,1.2315
renewables_049,renewables,20,23.94,1.197
renewables_050,renewables,25,32.77,1.3108
renewables_051,renewables,20,25.09,1.2545
renewables_052,renewables,20,25.78,1.289
renewables_053,renewables,20,24.16,1.208
renewables_054,renewables,25,32.26,1.2904
renewables_055,renewables,25,31.96,1.2784
renewables_056,renewables,20,24.8,1.24
