Objective Function:
Minimize 200*theta1 + 250*theta2 + 380*theta3 + 350*theta4 + 50*y3 + 50*y4

Subject To:
// Apple demand constraint
30*theta1 + 20*theta2 + 40*theta3 + 10*theta4 = 100

// Banana demand constraint
20*theta1 + 30*theta2 + 10*theta3 + 40*theta4 = 80

// New supplier 3 activation (if y3=0, theta3=0)
theta3 <= 1000*y3

// New supplier 4 activation (if y4=0, theta4=0)
theta4 <= 1000*y4

// Non-negativity constraints
theta1 >= 0
theta2 >= 0
theta3 >= 0
theta4 >= 0

// Binary variables for new suppliers
y3 in {0,1}
y4 in {0,1}
