Food,Calories,Protein(g),Fat(g),VitaminC(mg),Cost
Oatmeal,150,5,2.5,0,0.4
Milk,120,8,5,0,0.5
Egg,78,6,5,0,0.3
Banana,105,1,0.4,10,0.25
Grain_001,201,3.6,4,0.5,0.38
Grain_002,133,6.4,4.6,0.2,0.75
Grain_003,123,3.5,1.9,1.2,0.93
Grain_004,211,6.2,3.2,0.4,0.97
Grain_005,120,6.8,1.6,0.8,0.56
Grain_006,147,7.8,2.3,0.2,0.33
Grain_007,164,6,4.2,1.5,0.9
Grain_008,168,3.4,2.2,1.3,1.35
Grain_009,166,5.9,3.8,0.1,0.5
Grain_010,157,7.9,4.4,1.7,0.69
Grain_011,178,6.2,2.5,0.7,0.47
Grain_012,154,6.5,3.7,0.1,1.03
Grain_013,188,6.6,1.7,0.8,1.49
Grain_014,201,6.4,1.9,0.6,1.2
Grain_015,127,4.1,1.1,0.6,0.55
Grain_016,147,7.6,3.3,1.4,0.48
Grain_017,183,5,4.7,0.9,0.54
Grain_018,151,6.7,3.2,1.5,0.76
Grain_019,194,5,1.9,2,0.86
Grain_020,131,6.8,4.4,0.3,0.41
Grain_021,207,5.1,1.3,0.8,1.49
Grain_022,187,4.3,3.2,1.9,1.08
Grain_023,134,6.4,3.1,0.5,1.03
Grain_024,134,4.5,1.6,0,1.14
Grain_025,212,4.3,3,0.4,1.39
Dairy_001,160,7.1,7.5,0.6,0.44
Dairy_002,177,6.1,9.7,0.9,1.13
Dairy_003,156,7.3,3.1,0.9,1.09
Dairy_004,119,6.7,4.7,0.6,0.37
Dairy_005,173,8.4,3.5,0.8,0.99
Dairy_006,96,9.6,9.6,0.2,0.77
Dairy_007,157,8,4.5,0.5,0.96
Dairy_008,105,10,5.8,0.7,0.64
Dairy_009,146,8.2,4.7,0.1,0.32
Dairy_010,150,6.6,4.5,0.1,0.87
Dairy_011,109,5.5,3.2,0.3,0.76
Dairy_012,115,9.7,4.5,0.1,1.14
Dairy_013,153,9,4.7,0.5,0.67
Dairy_014,92,5.7,6,0.4,0.72
Dairy_015,173,5.4,7.6,0.6,0.35
Dairy_016,173,7.4,9,0.2,0.47
Dairy_017,137,6,4.3,0.5,1.09
Dairy_018,89,8.1,9,0.6,0.35
Dairy_019,149,10.9,9.8,0.9,1.06
Dairy_020,101,7.8,6.4,0.9,1.11
Dairy_021,101,7.7,9.9,0.3,1.01
Dairy_022,138,7,7.9,0.7,1.01
Dairy_023,164,10,4.1,0.3,1.17
Dairy_024,154,10.2,3.4,0.3,0.35
Dairy_025,141,8.5,9,0.2,1.16
Meat_001,120,22.8,5.7,0,2.22
Meat_002,203,11.8,13.9,0.1,1.69
Meat_003,120,16.3,10.8,0.3,2.37
Meat_004,152,20,8.1,0.1,0.76
Meat_005,176,16.9,14.3,0.5,0.52
Meat_006,244,24.9,5.7,0.1,1.03
Meat_007,189,23.2,13.8,0.2,0.82
Meat_008,239,20.6,11.1,0.5,1.81
Meat_009,102,20,10.5,0.5,0.71
Meat_010,134,14,13.9,0.4,0.81
Meat_011,172,19.1,12.2,0.1,1.77
Meat_012,167,17.6,7.5,0.5,0.6
Meat_013,208,22.4,5.4,0.2,0.76
Meat_014,167,12.4,9.4,0.4,1.62
Meat_015,128,11.1,13.8,0.5,1.59
Meat_016,194,18.7,6.5,0.1,1.12
Meat_017,110,23.5,7.1,0.1,0.71
Meat_018,243,23.3,9.1,0.3,0.81
Meat_019,160,23,14.8,0.4,2.26
Meat_020,106,12.7,14.2,0.4,1.32
Meat_021,163,14,12.9,0.1,2.24
Meat_022,220,13.3,13.2,0.2,1.11
Meat_023,158,13.3,11.6,0.2,1.06
Meat_024,117,24.5,7.8,0.3,1.3
Meat_025,237,15,5.3,0.4,1.02
Fruit_001,83,0.1,0.6,34.4,0.83
Fruit_002,105,1.2,0.5,37.7,0.66
Fruit_003,82,0.1,0.4,49.2,0.85
Fruit_004,75,0.7,0.1,61.5,0.46
Fruit_005,90,1.3,0.1,81.5,0.61
Fruit_006,102,0.7,0.7,52.1,0.35
Fruit_007,98,1.4,0.9,57.3,0.44
Fruit_008,120,1.7,0.3,22.9,0.83
Fruit_009,91,0.9,0.4,23.2,0.58
Fruit_010,71,1.3,0.3,61.4,0.7
Fruit_011,61,1.6,0.8,62.2,0.38
Fruit_012,75,0.3,0,88.6,0.69
Fruit_013,59,0.9,0.9,53.9,0.77
Fruit_014,99,1,0.2,60.8,0.2
Fruit_015,63,1.6,0.2,73.3,0.76
Fruit_016,109,0.1,0.2,77.1,0.57
Fruit_017,109,1.3,1,55.6,0.96
Fruit_018,106,1.2,0.7,47.9,0.86
Fruit_019,120,0.9,0.2,78.2,0.56
Fruit_020,81,1.7,0.3,71.1,0.59
Fruit_021,80,0.5,0.1,29.3,0.42
Fruit_022,90,1.8,0.1,17.8,0.51
Fruit_023,69,1.4,0.1,39.6,0.63
Fruit_024,103,0.1,0.8,38.1,0.82
Fruit_025,52,1.7,0.8,37.3,0.2
Veg_001,42,2.2,0.4,107.5,0.77
