Product,LaborHours,MaterialA,MaterialB,Profit
Widget1,1.6,24,14,525
Widget2,2,20,10,678
Widget3,2.5,12,18,812
Widget4,1.9 ,21,15,769
Widget5,0.0 ,15,26,952
Widget6,0.1 ,24,17,987
Widget7,1.2 ,15,30,644
Widget8,1.3 ,21,24,795
Widget9,0.4 ,20,30,829
Widget10,0.9 ,18,27,574
Widget11,0.2 ,24,21,723
Widget12,1.6 ,20,20,775
Widget13,0.1 ,20,22,992
Widget14,0.7 ,12,19,568
Widget15,1.1 ,11,28,895
Widget16,0.7 ,15,25,838
Widget17,1.0 ,14,27,883
Widget18,1.8 ,18,15,567
Widget19,0.5 ,23,25,829
Widget20,1.2 ,17,29,821
Widget21,0.2 ,20,17,893
Widget22,1.5 ,10,22,977
Widget23,1.1 ,12,21,536
Widget24,0.6 ,12,24,797
Widget25,1.8 ,10,25,793
Widget26,2.0 ,15,23,754
Widget27,1.4 ,17,21,819
Widget28,1.3 ,22,30,947
Widget29,1.2 ,11,17,857
Widget30,0.3 ,13,29,886
Widget31,1.6 ,17,15,609
Widget32,0.9 ,24,19,706
Widget33,0.1 ,10,26,545
Widget34,0.0 ,12,22,762
Widget35,1.8 ,12,21,719
Widget36,0.3 ,24,26,793
Widget37,0.6 ,20,27,865
Widget38,0.7 ,16,23,932
Widget39,0.6 ,17,18,962
Widget40,1.3 ,10,22,824
Widget41,0.8 ,15,19,992
Widget42,1.7 ,21,29,536
Widget43,1.5 ,17,25,896
Widget44,1.3 ,25,23,969
Widget45,1.8 ,21,26,558
Widget46,0.1 ,25,20,893
Widget47,1.0 ,11,30,777
Widget48,0.6 ,23,29,718
Widget49,0.2 ,25,16,811
Widget50,1.2 ,25,29,545
Widget51,0.7 ,17,25,961
Widget52,1.7 ,12,25,657
Widget53,0.8 ,12,23,658
Widget54,1.6 ,15,19,860
Widget55,0.5 ,22,20,625
Widget56,1.1 ,18,17,510
Widget57,0.0 ,17,24,1000
Widget58,0.2 ,22,17,544
Widget59,1.7 ,23,17,547
Widget60,0.5 ,18,27,961
Widget61,1.6 ,16,23,689
Widget62,1.1 ,12,16,545
Widget63,0.5 ,13,16,897
Widget64,0.1 ,13,29,881
Widget65,0.6 ,25,24,972
Widget66,1.9 ,18,17,860
Widget67,0.7 ,23,15,881
Widget68,1.3 ,25,15,892
Widget69,1.5 ,22,27,797
Widget70,0.4 ,14,21,767
Widget71,1.1 ,14,22,794
Widget72,0.3 ,15,30,899
Widget73,0.6 ,10,26,504
Widget74,1.5 ,10,26,731
Widget75,0.2 ,23,19,929
Widget76,0.3 ,22,19,872
Widget77,1.0 ,14,25,631
Widget78,1.3 ,14,21,681
Widget79,2.0 ,22,28,587
Widget80,1.8 ,22,21,829
Widget81,1.2 ,12,29,734
Widget82,1.1 ,12,19,648
Widget83,0.3 ,22,26,738
Widget84,1.4 ,23,19,648
Widget85,1.1 ,11,30,557
Widget86,1.6 ,23,28,960
Widget87,1.6 ,14,15,907
Widget88,1.5 ,17,24,531
Widget89,0.0 ,23,21,887
Widget90,0.6 ,13,21,675
Widget91,0.2 ,25,20,766
Widget92,0.5 ,15,18,861
Widget93,1.4 ,24,20,841
Widget94,1.6 ,17,28,618
Widget95,1.8 ,23,17,574
Widget96,0.5 ,13,18,748
Widget97,1.6 ,20,21,898
Widget98,1.4 ,16,18,520
Widget99,0.3 ,11,19,675
Widget100,1.3 ,22,26,868
Widget101,1.5 ,18,19,698
Widget102,0.7 ,12,17,988
Widget103,0.8 ,12,29,550
Widget104,1.8 ,10,27,508
Widget105,1.7 ,24,22,682
Widget106,0.8 ,21,20,995
Widget107,0.3 ,25,30,656
Widget108,1.3 ,25,22,569
Widget109,0.9 ,21,18,779
Widget110,1.6 ,23,26,965
Widget111,0.4 ,23,27,675
Widget112,1.7 ,21,30,638
Widget113,1.5 ,20,26,888
Widget114,2.0 ,15,26,875
Widget115,0.9 ,24,24,552
Widget116,0.9 ,12,23,705
Widget117,0.1 ,15,28,863
Widget118,0.1 ,14,18,706
Widget119,0.3 ,13,25,663
Widget120,0.1 ,13,20,859
Widget121,1.3 ,24,17,809
Widget122,1.5 ,12,17,830
Widget123,1.7 ,19,29,991
Widget124,0.7 ,10,16,791
Widget125,0.6 ,13,22,934
Widget126,0.8 ,22,15,732
Widget127,0.4 ,22,17,989
Widget128,1.4 ,21,21,573
Widget129,0.1 ,16,23,720
Widget130,0.5 ,19,27,834
Widget131,0.1 ,23,18,577
Widget132,0.9 ,17,20,951
Widget133,1.1 ,19,30,882
Widget134,1.7 ,17,17,859
Widget135,1.3 ,22,17,568
Widget136,0.8 ,17,26,861
Widget137,1.7 ,13,17,875
Widget138,1.7 ,12,18,834
Widget139,1.6 ,12,23,836
Widget140,1.6 ,17,24,938
Widget141,1.2 ,11,16,593
